symbol,day,pnl,win,tt,near_high,pocket,dryup,dist25,rs_newhi,mkt_a10,mkt_a21,mkt_dist25
EOSE.US,2025-10-02,-3.1542753067484592,0,8,0.0,0,0,0,1,1,1,2
EOSE.US,2025-11-26,3.549832312627605,1,6,-30.17196456487754,0,1,1,0,1,1,3
EOSE.US,2025-12-03,5.428856695379798,1,6,-33.402813965607095,0,1,1,0,1,1,3
EOSE.US,2025-12-10,-1.2847746243739528,0,7,-22.094841063053682,0,1,1,0,1,1,3
EOSE.US,2025-12-30,-1.7837380745880138,0,6,-40.854611776967175,0,0,0,0,1,1,0
EOSE.US,2026-02-17,3.4744575045207844,1,5,-42.15737363210006,0,0,1,0,0,0,6
EOSE.US,2026-02-19,0.8306167400881028,1,5,-39.760291818655546,0,1,1,0,0,0,6
EOSE.US,2026-02-20,-2.25154185022026,0,5,-40.33350703491403,0,1,1,0,0,0,6
EOSE.US,2026-03-19,4.598837209302332,1,3,-72.48566961959354,0,1,2,0,0,0,5
CIFR.US,2025-02-03,2.213018867924522,1,6,-22.880215343203226,1,0,1,0,1,1,1
CIFR.US,2025-02-10,-1.20453795379536,0,7,-19.650067294751004,0,0,1,0,0,1,1
CIFR.US,2025-02-12,1.2590796460177056,1,6,-23.283983849259748,0,1,1,0,1,1,1
CIFR.US,2025-03-19,-1.556783919597983,0,2,-61.37281292059219,0,1,2,0,0,0,7
CIFR.US,2025-04-15,-1.2615151515151577,0,1,-67.16016150740242,0,1,1,0,1,0,5
CIFR.US,2025-04-29,-1.1913539967373596,0,2,-58.815612382234185,0,0,1,0,1,1,4
CIFR.US,2025-05-09,-1.7868878357029987,0,3,-58.00807537012113,1,0,2,0,1,1,4
CIFR.US,2025-05-19,-0.3119921363040552,0,3,-48.04845222072678,1,0,2,0,1,1,0
CIFR.US,2025-06-03,-1.7983965014577192,0,3,-56.258411843876175,0,0,3,0,1,1,0
CIFR.US,2025-06-30,2.176057906458786,1,3,-42.664872139973085,1,0,0,0,1,1,0
CIFR.US,2025-07-08,2.440448504983402,1,5,-22.072678331090167,0,0,0,0,1,1,0
CIFR.US,2025-08-12,-1.102105263157888,0,5,-35.93539703903096,0,0,0,0,1,1,2
CIFR.US,2025-08-18,2.7750626118068,1,6,-29.878869448183043,0,0,0,0,1,1,2
CIFR.US,2025-08-27,-0.6821503865073693,0,7,-4.172274562584111,0,0,0,1,1,1,3
CIFR.US,2025-09-02,2.0030138158698985,1,7,0.0,1,0,0,1,0,1,3
CIFR.US,2025-09-19,-1.7130753311258338,0,7,-4.281098546042017,0,0,1,0,1,1,2
CIFR.US,2025-10-01,-1.024756189047259,0,7,-11.024734982332163,0,0,3,0,1,1,2
CIFR.US,2025-10-03,-1.1913539967373452,0,7,-2.402826855123674,0,0,3,0,1,1,2
CIFR.US,2025-11-28,3.4226939075116336,1,7,-22.50101173613922,0,0,1,0,1,1,3
CIFR.US,2025-12-12,-1.5941345902068478,0,7,-23.593686766491306,0,0,1,0,1,1,3
