ticker,src,shade,z
CIEN,recent,亮蓝,-0.6712142363739911
CIEN,recent,亮蓝,-0.7459675542766163
CIEN,recent,亮蓝,-0.894232578605281
CIEN,recent,亮蓝,-0.9796284625029005
CIEN,recent,浅红,-1.0668599609053546
CIEN,recent,浅红,-1.0081555130238828
CIEN,recent,亮红,-0.9875575446093028
CIEN,recent,亮红,-1.0241177396380614
CIEN,recent,亮红,-1.020578425708983
CIEN,recent,深红,-1.0414191488061133
CIEN,recent,亮红,-1.0054697822193217
CIEN,recent,亮红,-0.9912831280220268
CIEN,recent,深蓝,-0.855858649325461
CIEN,recent,深蓝,-0.7779032442981029
CIEN,recent,深蓝,-0.8086986264118775
CIEN,recent,深蓝,-0.8090075335301439
CIEN,recent,深蓝,-0.8382861706911444
CIEN,recent,亮蓝,-0.8329323396807587
CIEN,recent,亮蓝,-0.78268190244618
CIEN,recent,亮蓝,-0.7551705819916873
CIEN,recent,亮蓝,-0.7602784243994547
CIEN,recent,浅红,-0.7139745119308833
CIEN,recent,亮蓝,-0.7177210717759914
CIEN,recent,亮蓝,-0.7414043671041137
CIEN,recent,亮蓝,-0.7887293438504451
CIEN,extrema,亮蓝,0.01013129516149428
CIEN,extrema,浅,-0.3951162396881064
CIEN,extrema,深蓝,2.0131230573770766
CIEN,extrema,浅红,-1.1229954463417406
CIEN,extrema,亮蓝,3.3965284681661414
CIEN,extrema,浅,-1.0909691800024832
CIEN,extrema,深蓝,-0.6656026715673553
CIEN,extrema,浅,-1.0668599609053546
CRDO,gmax,亮蓝,3.7522058989715683
CRDO,gmin,深红,-2.0363369338387094
CRDO,recent,亮蓝,0.23776702942819777
CRDO,recent,亮蓝,0.34409474817780444
CRDO,recent,亮蓝,0.5321462830897569
CRDO,recent,深蓝,0.8465227974073621
CRDO,recent,深蓝,0.9673714828811337
CRDO,recent,浅蓝,1.152966597004291
CRDO,recent,浅,1.3003379772574415
CRDO,recent,浅,1.4821549775080263
CRDO,recent,浅,1.4471734275018553
CRDO,recent,浅蓝,1.4287378537725857
CRDO,recent,浅蓝,1.375058306533267
CRDO,recent,浅,1.2953511847736159
CRDO,recent,浅,1.1200855951846573
CRDO,recent,浅,1.056948681294911
CRDO,recent,浅,1.0651426429382
CRDO,recent,亮红,1.1310105495287683
CRDO,recent,亮红,1.35995407278056
CRDO,recent,浅,1.5352769199346736
CRDO,recent,浅,1.6332014393702208
CRDO,recent,浅,1.7696643526889342
