symbol,strategy,filled,phantom_rate_pct,win_rate,pf,cum_pct,max_dd,avg_pnl,recency_avg_pnl,recency_win_rate,recency_pf,last_90d_n,last_90d_win,last_90d_pf,last_90d_cum_pct,last_180d_n,last_180d_win,last_180d_pf,last_180d_cum_pct,n_tp,n_stop,composite_score,passes_filter,filter_fail_reasons
AMZN.US,VWAP_PB,48,32.4,25.0,0.65,-5.36,-7.11,-0.112,-0.134,14.9,0.56,11,18.2,0.83,-0.59,13,15.4,0.73,-1.0,11,32,-0.112,False,近期PF<1.1|近半年PF<1.0
AMZN.US,VWAP_MR,220,0.0,44.1,0.53,-22.61,-22.72,-0.115,-0.132,42.6,0.48,38,36.8,0.47,-5.59,77,44.2,0.5,-9.63,69,71,-0.127,False,近期PF<1.1|近半年PF<1.0
AMZN.US,EMA_X,155,0.0,40.6,0.61,-14.39,-15.22,-0.099,-0.14,38.2,0.5,27,40.7,0.54,-3.61,51,33.3,0.39,-9.06,34,67,-0.143,False,近期PF<1.1|近半年PF<1.0
AMZN.US,DC20,126,40.8,34.9,0.74,-6.69,-9.58,-0.054,-0.096,37.5,0.56,25,36.0,0.48,-3.19,39,38.5,0.54,-3.83,13,47,-0.088,False,近期PF<1.1|近半年PF<1.0
AMZN.US,TTM_SQ,249,0.0,40.2,0.82,-10.01,-18.3,-0.041,-0.034,38.2,0.84,37,40.5,0.99,-0.11,85,32.9,0.71,-5.8,51,110,-0.046,False,近期PF<1.1|近半年PF<1.0
AMZN.US,ST_10_3,56,0.0,37.5,0.5,-6.05,-6.05,-0.111,-0.142,34.3,0.41,6,33.3,0.2,-1.61,21,28.6,0.35,-3.47,10,28,-0.143,False,近期PF<1.1|近半年PF<1.0
SOXL.US,ORB5_Z,190,0.0,30.0,0.94,-16.14,-30.19,-0.058,0.104,33.4,1.09,41,36.6,1.24,9.64,74,32.4,1.02,-1.42,3,126,0.035,False,近期PF<1.1
SOXL.US,ORB15_VWAP,25,84.0,32.0,0.54,-9.6,-10.25,-0.386,-0.576,25.9,0.36,4,25.0,0.39,-2.05,4,25.0,0.39,-2.05,1,6,-0.519,False,近期PF<1.1|近半年PF<1.0
SOXL.US,VWAP_PB,46,36.1,30.4,0.55,-15.63,-17.94,-0.359,-0.167,35.3,0.79,11,36.4,0.69,-3.39,17,35.3,0.86,-2.05,10,30,-0.191,False,近期PF<1.1|近半年PF<1.0
SOXL.US,VWAP_MR,223,0.0,47.1,0.87,-21.76,-26.88,-0.096,-0.211,44.4,0.74,38,36.8,0.56,-16.66,78,42.3,0.69,-20.44,74,90,-0.203,False,近期PF<1.1|近半年PF<1.0
SOXL.US,EMA_X,155,0.0,41.3,0.8,-23.05,-25.84,-0.154,-0.114,42.8,0.83,20,45.0,0.76,-3.33,40,45.0,1.09,1.62,34,73,-0.076,False,近期PF<1.1
SOXL.US,DC20,136,37.9,43.4,1.02,0.05,-13.38,0.01,-0.043,44.1,0.91,16,37.5,0.71,-3.18,35,42.9,0.98,-0.66,18,51,-0.025,False,近期PF<1.1|近半年PF<1.0
SOXL.US,TTM_SQ,240,0.0,40.8,0.93,-11.4,-36.48,-0.04,-0.221,37.6,0.66,44,38.6,0.65,-11.42,83,32.5,0.58,-22.28,39,112,-0.199,False,近期PF<1.1|近半年PF<1.0
SOXL.US,ST_10_3,67,0.0,46.3,1.29,9.54,-8.78,0.148,0.104,48.1,1.19,25,48.0,1.14,1.66,39,46.2,1.34,7.23,7,28,0.137,True,
