symbol,model,day,is_gap,entry,exit,result,pnl_pct
TSLL.US,A_OLD,2025-07-07,False,10.035015,9.975010000000001,CUTOFF,-0.5979562561690095
TSLL.US,A_OLD,2025-07-08,False,10.4052,10.084955,STOP,-3.077739976165762
TSLL.US,A_OLD,2025-07-10,False,10.915455,11.03448,CUTOFF,1.0904263725149397
TSLL.US,A_OLD,2025-07-11,True,10.955474999999998,11.27436,CUTOFF,2.9107364126156257
TSLL.US,A_OLD,2025-07-16,True,11.515754999999999,11.83408,CUTOFF,2.764256446928591
TSLL.US,A_OLD,2025-07-18,False,12.176084999999999,12.3938,CUTOFF,1.78805420625761
TSLL.US,A_OLD,2025-07-22,True,12.48624,12.583705,CUTOFF,0.7805792616512232
TSLL.US,A_OLD,2025-07-23,False,12.696344999999999,12.35382,STOP,-2.6978236649996394
TSLL.US,A_OLD,2025-07-25,True,11.055525,11.664165000000002,TP,5.505301647818651
TSLL.US,A_OLD,2025-07-28,True,11.525759999999998,12.03398,TP,4.409427230829043
TSLL.US,A_OLD,2025-08-04,False,10.835415,10.49475,STOP,-3.143995869101456
TSLL.US,A_OLD,2025-08-05,False,10.793394,10.69465,CUTOFF,-0.9148558831448195
TSLL.US,A_OLD,2025-08-06,False,11.025509999999999,11.454270000000001,CUTOFF,3.8887997017825233
TSLL.US,A_OLD,2025-08-07,False,11.605799999999999,11.604195,EOD,-0.013829292250408057
TSLL.US,A_OLD,2025-08-08,False,12.136065,12.123935000000001,CUTOFF,-0.09995002498749872
TSLL.US,A_OLD,2025-08-11,True,13.006499999999999,12.833580000000001,CUTOFF,-1.3294891016030275
TSLL.US,A_OLD,2025-08-18,False,12.4062,12.503745,CUTOFF,0.786260095758574
TSLL.US,A_OLD,2025-08-19,False,12.676335,12.364814500000001,STOP,-2.4574965871444587
TSLL.US,A_OLD,2025-08-22,True,11.735865,12.471761000000003,TP,6.270487944433597
TSLL.US,A_OLD,2025-08-25,False,12.90645,13.27336,CUTOFF,2.8428421448190693
TSLL.US,A_OLD,2025-08-26,False,13.456724999999999,13.663165000000001,CUTOFF,1.5341028370573258
TSLL.US,A_OLD,2025-09-03,False,12.376184999999998,12.27386,CUTOFF,-0.826789515508995
TSLL.US,A_OLD,2025-09-04,True,12.5512725,12.603695,EOD,0.41766681426126706
TSLL.US,A_OLD,2025-09-10,True,13.606799999999998,13.25337,CUTOFF,-2.5974512743628018
TSLL.US,A_OLD,2025-09-11,True,13.546769999999999,14.106942999999998,TP,4.135103792269294
TSLL.US,A_OLD,2025-09-12,True,15.717855,17.021485000000002,CUTOFF,8.293943416579436
TSLL.US,A_OLD,2025-09-16,True,18.879435,19.240375,CUTOFF,1.9118156872808922
TSLL.US,A_OLD,2025-09-17,True,18.864427499999998,19.630180000000003,CUTOFF,4.059240599800895
TSLL.US,A_OLD,2025-09-24,True,20.4392145,21.019485000000003,CUTOFF,2.839005872755064
TSLL.US,A_OLD,2025-09-26,False,20.210099999999997,20.699645,CUTOFF,2.422278959530152
TSLL.US,A_OLD,2025-09-30,False,21.03051,21.099445,CUTOFF,0.3277856789968467
TSLL.US,A_OLD,2025-10-01,True,21.578784,22.48875,CUTOFF,4.216947535134513
TSLL.US,A_OLD,2025-10-06,True,21.1995945,21.739125,CUTOFF,2.545003867880593
TSLL.US,A_OLD,2025-10-09,False,19.92996,19.999995000000002,CUTOFF,0.35140562248996354
TSLL.US,A_OLD,2025-10-13,False,19.12956,19.880055000000002,CUTOFF,3.9232214436714736
TSLL.US,A_OLD,2025-10-14,True,19.099545,19.29035,CUTOFF,0.999002855827199
TSLL.US,A_OLD,2025-10-15,False,20.180085000000002,19.3593155,STOP,-4.067225187604516
TSLL.US,A_OLD,2025-10-17,True,19.359675,20.159915,CUTOFF,4.133540464909676
TSLL.US,A_OLD,2025-10-20,False,20.79039,20.899545,CUTOFF,0.5250262260592573
TSLL.US,A_OLD,2025-10-21,False,21.05052,20.54972,STOP,-2.379038617573334
TSLL.US,A_OLD,2025-10-23,True,18.58929,20.099945,TP,8.126480355086201
TSLL.US,A_OLD,2025-10-27,True,20.77038,21.239375000000003,CUTOFF,2.257999131455482
TSLL.US,A_OLD,2025-10-28,False,22.121055,22.00899,CUTOFF,-0.5065988037188898
TSLL.US,A_OLD,2025-10-31,True,21.0054975,20.619685,STOP,-1.8367215534885577
TSLL.US,A_OLD,2025-11-03,True,22.29114,22.628680000000003,CUTOFF,1.5142339063861434
TSLL.US,A_OLD,2025-11-05,False,21.3256575,21.909040000000005,CUTOFF,2.7355897467639916
TSLL.US,A_OLD,2025-11-10,True,20.07003,20.219885,CUTOFF,0.7466605680210857
TSLL.US,A_OLD,2025-11-19,True,16.7233575,16.271860000000004,STOP,-2.6998017593057795
TSLL.US,A_OLD,2025-11-24,True,17.008499999999998,17.481255,CUTOFF,2.779522003704048
TSLL.US,A_OLD,2025-11-25,True,17.296644,17.63118,CUTOFF,1.9341092988905824
TSLL.US,A_OLD,2025-11-26,True,18.159074999999998,18.220885000000003,EOD,0.3403807738004541
TSLL.US,A_OLD,2025-12-02,True,18.797394,18.3908,STOP,-2.1630338758659944
TSLL.US,A_OLD,2025-12-03,True,19.219605,19.910040000000002,CUTOFF,3.5923475014184776
TSLL.US,A_OLD,2025-12-04,False,20.43021,20.559715,CUTOFF,0.6338897152794893
TSLL.US,A_OLD,2025-12-09,True,19.459725,19.67016,CUTOFF,1.0813873269021037
TSLL.US,A_OLD,2025-12-10,False,19.569779999999998,19.650170000000003,CUTOFF,0.4107864268275109
TSLL.US,A_OLD,2025-12-16,True,21.580785,22.968510000000006,TP,6.430373130541854
TSLL.US,A_OLD,2025-12-18,True,22.261125,22.32883,CUTOFF,0.3041400647990617
TSLL.US,A_OLD,2026-01-05,True,19.36968,19.21039,CUTOFF,-0.8223677417489531
TSLL.US,A_OLD,2026-01-08,True,17.4197055,17.841075000000004,CUTOFF,2.4189243612643416
TSLL.US,A_OLD,2026-01-09,True,17.84892,18.75062,TP,5.05184627417234
