ticker,sector,rank,entry,cta,exit,score,win_rate,ret_1m,ret_3m,ret_ytd,cagr_1y,dd_1y
CMI,🚚 物流/运输,1,bb_lo,none,trail_12,2.74,65.5,14.0,14.7,14.7,21.1,-4.8
CMI,🚚 物流/运输,2,ma5200,none,ma_x,2.7,71.4,15.4,9.5,23.3,62.6,-15.2
CMI,🚚 物流/运输,3,rsi35,smh,rsi70,1.72,74.4,9.3,8.8,8.8,18.6,-8.2
GDX,🥇 黄金/避险,1,ema20_dip,none,rsi80,2.74,71.7,15.4,13.5,27.4,112.6,-24.3
GDX,🥇 黄金/避险,2,vol+ema,soft,ma_x,1.85,53.8,13.9,3.3,17.0,100.0,-30.8
GDX,🥇 黄金/避险,3,bb_lo,soft,rsi_fade,1.67,76.0,13.9,7.4,7.4,25.0,-15.1
TSM,⚡ 半导体/AI算力,1,bb_lo,soxx,trail_12,2.71,51.6,15.3,14.2,14.2,33.3,-5.3
TSM,⚡ 半导体/AI算力,2,rsi35,soft,rsi_fade,2.66,70.5,10.0,10.4,10.4,29.8,-6.9
TSM,⚡ 半导体/AI算力,3,mfi_os,none,rsi_fade,2.11,82.0,0.0,0.0,0.0,11.2,-2.6
HWM,🏭 工业/航天制造,1,dc20+cmf,smh,ema_x,2.71,69.2,5.7,14.1,24.8,80.7,-15.9
HWM,🏭 工业/航天制造,2,ema2060,smh,ema_x,2.71,60.0,5.7,14.1,24.8,89.1,-15.9
HWM,🏭 工业/航天制造,3,mfi_os,smh,trail_12,2.64,56.5,6.2,16.0,16.0,27.7,-4.9
EME,🏭 工业/航天制造,1,vol_surge,combo,rsi70,2.7,73.8,6.6,14.7,14.7,37.9,-5.1
EME,🏭 工业/航天制造,2,mfi_os,spy,rsi_fade,1.93,76.6,0.0,3.5,3.5,17.7,-5.5
EME,🏭 工业/航天制造,3,bb_lo,none,rsi_fade,0.52,83.3,0.0,0.0,0.0,5.1,-5.1
MP,🔋 电池/稀土,1,rsi35,soxx,rsi80,2.7,65.0,2.2,32.5,44.0,115.4,-20.9
MP,🔋 电池/稀土,2,bb_lo,combo,rsi_fade,2.36,76.5,8.1,9.8,35.7,120.1,-28.5
MP,🔋 电池/稀土,3,mfi_os,soxx,rsi80,2.2,65.6,12.5,12.5,12.5,32.5,-12.0
META,🔵 大盘/核心,1,bb_lo,soft,rsi_fade,2.68,87.5,11.8,33.2,30.8,57.2,-16.2
META,🔵 大盘/核心,2,mfi_os,none,rsi_fade,0.75,66.7,-0.7,5.9,4.0,15.9,-14.7
META,🔵 大盘/核心,3,rsi28,none,rsi80,0.31,68.2,-0.7,4.2,4.9,1.5,-14.7
ETN,🏗 AI电力/数据中心,1,dc20|ema,none,rsi_fade,2.68,58.2,5.2,15.1,15.1,43.8,-8.0
ETN,🏗 AI电力/数据中心,2,dc20,none,rsi_fade,2.67,57.0,5.2,15.1,15.1,43.8,-8.0
ETN,🏗 AI电力/数据中心,3,bb_lo,combo,trail_12,2.55,64.7,0.0,2.9,7.8,15.3,-3.7
RCL,🏥 消费/健康,1,vol+ema,smh,rsi80,2.67,75.5,0.0,18.3,18.3,48.9,-1.5
RCL,🏥 消费/健康,2,dc20|ema,none,rsi_fade,1.47,50.7,0.0,19.5,9.7,33.0,-15.2
RCL,🏥 消费/健康,3,bb_lo,combo,cmf_neg,1.25,51.7,-3.2,-3.9,-3.9,40.8,-13.1
DE,🏭 工业/航天制造,1,obv_up,smh,trail_8,2.66,42.6,2.4,20.6,33.4,40.2,-9.9
DE,🏭 工业/航天制造,2,mfi_os,soft,rsi_fade,1.31,77.8,1.0,-1.7,7.7,11.1,-11.2
DE,🏭 工业/航天制造,3,bb_lo,none,rsi_fade,1.13,82.1,0.0,0.0,0.0,6.0,-11.2
NVDA,⚡ 半导体/AI算力,1,rsi28,soxx,rsi80,2.63,83.9,7.1,7.1,7.1,10.9,-2.7
NVDA,⚡ 半导体/AI算力,2,rsi35,smh,rsi_fade,2.3,85.9,0.9,10.9,11.1,24.3,-7.6
NVDA,⚡ 半导体/AI算力,3,bb_lo,soxx,cmf_neg,2.57,61.8,2.7,3.7,3.7,22.2,-4.3
GOOG,🔵 大盘/核心,1,dc20+obv,soxx,obv_down,2.62,54.0,7.7,7.6,7.5,65.5,-7.7
GOOG,🔵 大盘/核心,2,vol_surge,soxx,rsi_fade,2.48,56.9,0.0,-4.3,1.6,36.7,-6.0
GOOG,🔵 大盘/核心,3,mfi_os,combo,rsi_fade,2.24,79.0,11.9,14.1,14.1,14.9,-5.3
RKLB,🚀 太空/机器人,1,ema_cross,combo,rsi80,2.58,90.0,2.0,2.0,28.3,63.8,-14.5
RKLB,🚀 太空/机器人,2,bb_lo,smh,ma_x,2.46,70.6,35.7,43.4,43.4,76.8,-30.3
RKLB,🚀 太空/机器人,3,mfi_os,combo,rsi80,0.87,63.3,13.7,20.0,20.0,14.3,-23.9
AMZN,🔵 大盘/核心,1,ema_cross,soxx,cmf_neg,2.57,57.1,4.3,4.3,4.3,7.9,-0.4
AMZN,🔵 大盘/核心,2,bb_lo,soxx,rsi_fade,2.04,77.3,5.3,-0.9,-0.9,38.8,-10.9
AMZN,🔵 大盘/核心,3,rsi28,none,rsi80,1.21,80.3,0.0,2.8,2.8,13.0,-6.9
PCAR,🚚 物流/运输,1,vol_surge,none,rsi80,2.57,68.5,0.0,7.1,19.1,43.3,-9.6
PCAR,🚚 物流/运输,2,rsi28,none,rsi_fade,2.17,80.6,2.4,1.7,1.7,25.0,-3.8
PCAR,🚚 物流/运输,3,bb_lo,none,rsi80,2.14,74.4,8.1,2.2,2.2,36.9,-10.9
